ID,Name,Nationality,Date Of Birth,Height,Position,Appearances,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big Chances Created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Club
3080,Benni McCarthy,South Africa,12/11/1977,183cm,Forward,120,36,50,,,,,,,,,,,,,15,1,145,37,6,"2,244",18.7,,69,,,45,28,54,4,,,,,,,,0,73,,,135,7,28,2,6,0.31,13,0,203,79,39%,0,
3081,Przemyslaw Kazimierczak,Poland,22/02/1988,191cm,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,Abdoulaye Méité,,,,Defender,84,27,36,,,,,,,,,16,126,4,1,10,0,94,0,1,"1,914",22.79,145,125,83%,1,6,100,706,157,4,211,290,234,26,94,75,0,2,50%,0,4,0,0,0,0,,,,,,,,
3083,César,Spain,03/04/1977,185cm,Defender,1,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3084,Lubomir Michalik,Slovakia,13/08/1983,200cm,Defender,11,0,6,,,,,,,,,2,20,0,1,2,0,9,1,1,173,15.73,12,18,72%,0,1,11,108,20,0,14,43,28,0,16,14,0,1,1%,0,0,0,1,0,1,,,,,,,,
3085,Scott Jamieson,Australia,12/10/1988,177cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3086,Michael Roddy,England,22/09/1988,177cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3087,Andranik Teymourian,Iran,06/03/1983,180cm,Midfielder,21,6,9,,,,,,,,,,,0,,2,0,21,2,0,344,16.38,23,27,89%,,6,10,9,0,,4,51,50,2,4,7,0,45,7%,0,1,1,0,1,1,0.1,0,0,20,7,35%,0,
3088,Zoltán Harsányi,Slovakia,01/06/1987,185cm,Forward,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0%,0,
3089,Johann Smith,United States,25/04/1987,178cm,Forward,1,0,1,,,,,,,,,,,,,0,0,1,0,0,0,1,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,1,0,0,0,0,0%,0,
3091,Mark Staunton,Scotland,30/01/1989,177cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3092,Cory Gibbs,United States,14/01/1980,188cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3093,Madjid Bougherra,Algeria,07/10/1982,190cm,Defender,5,0,3,,,,,,,,,0,8,0,0,1,0,2,0,0,55,11,3,3,67%,0,0,0,10,0,0,0,5,7,0,0,2,0,0,0%,0,0,0,0,0,0,,,,,,,,
3094,Souleymane Diawara,Senegal,24/12/1978,187cm,Defender,23,6,11,,,,,,,,,8,27,0,0,5,0,23,0,0,568,24.7,52,80,85%,0,2,38,222,0,0,0,137,59,3,33,16,0,1,1%,0,0,0,0,0,0,,,,,,,,
3095,Christian Bolaños,Costa Rica,17/05/1984,175cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3096,Zheng Zhi,China,20/08/1980,181cm,Midfielder,12,3,4,,,,,,,,,,,0,,1,0,11,1,0,278,23.17,11,23,78%,,2,5,14,0,,0,44,69,6,4,9,0,19,37%,0,3,1,0,0,1,0.08,0,0,15,4,27%,0,
3097,Henrique Hilário,Portugal,21/10/1975,189cm,Goalkeeper,20,12,3,29,1,11,26,13,4,82,161,6,22,1,0,0,0,0,0,0,281,14.05,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3098,Khalid Boulahrouz,Netherlands,28/12/1981,183cm,Defender,13,9,1,,,,,,,,,3,7,0,0,2,1,12,0,0,394,30.31,20,43,79%,0,0,10,53,0,0,0,52,46,2,2,9,0,4,25%,0,0,0,0,0,0,,,,,,,,
3099,Sam Hutchinson,England,03/08/1989,182cm,Midfielder,5,4,0,,,,,,,,,,,0,,0,0,1,0,1,69,13.8,1,4,100%,,0,2,1,1,,5,4,3,0,0,0,0,3,33%,0,0,0,0,0,0,5,0,0,1,0,1%,0,
3100,Harry Worley,England,25/11/1988,193cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3101,James Simmonds,Ireland,03/12/1987,177cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3102,John Obi Mikel,Nigeria,22/04/1987,188cm,Midfielder,249,149,41,,,,,,,,,,,2,,38,2,328,1,10,"12,253",49.21,839,539,78%,,36,374,396,131,,"1,447","1,145","1,051",136,227,276,6,53,23%,50,2,0,1,0,3,0,0,0,120,21,18%,1,
3103,Michael Ballack,Germany,26/09/1976,189cm,Midfielder,105,74,10,,,,,,,,,,,0,,20,2,187,17,10,"4,828",45.98,417,204,74%,,46,110,141,25,,342,440,465,24,74,77,0,136,26%,36,11,9,6,2,0,0.16,2,2,199,65,33%,0,
3104,Lee Sawyer,England,10/09/1989,176cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3105,Michael Woods,England,06/04/1990,183cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3106,Andriy Shevchenko,Ukraine,29/09/1976,183cm,Forward,48,30,4,,,,,,,,,,,,,1,0,31,9,7,662,13.79,,33,,,17,7,5,3,,,,,,,,0,35,,,23,1,5,3,0,0.19,1,0,89,44,49%,0,
3107,Salomon Kalou,Cote D’Ivoire,05/08/1985,185cm,Midfielder,156,99,20,,,,,,,,,,,0,,4,0,147,36,23,"2,986",19.14,53,139,74%,,56,86,58,13,,280,485,759,185,50,119,9,172,17%,62,105,8,21,7,8,0.23,0,0,269,103,38%,19,
3108,Ben Sahar,Israel,10/08/1989,180cm,Forward,3,1,0,,,,,,,,,,,,,0,0,3,0,0,8,2.67,,1,,,1,0,0,0,,,,,,,,0,2,,,1,0,0,0,0,3,0,0,3,2,67%,0,
3109,Lars Stubhaug,Norway,10/12/1990,182cm,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,Alan Kearney,Ireland,22/09/1987,169cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3111,Manuel Fernandes,Portugal,05/02/1986,176cm,Midfielder,31,12,10,,,,,,,,,,,0,,4,0,25,2,3,898,28.97,59,57,81%,,12,24,16,1,,79,130,143,29,6,9,0,56,13%,5,0,0,2,0,1,0.06,0,0,56,18,32%,0,
3112,Anderson Silva,Brazil,28/08/1982,188cm,Midfielder,1,1,0,,,,,,,,,,,0,,0,0,1,0,0,4,4,0,1,100%,,0,0,0,0,,0,1,1,0,0,0,0,0,0%,0,0,0,0,0,0,1,0,0,0,0,0%,0,
3113,Jan Lastuvka,Czech Republic,07/07/1982,191cm,Goalkeeper,8,1,4,24,1,6,8,15,0,20,81,0,15,0,0,0,0,0,0,0,146,18.25,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,Elliot Omozusi,England,15/12/1988,179cm,Defender,8,1,4,,,,,,,,,0,11,0,0,1,1,8,0,0,205,25.62,8,37,89%,0,0,12,80,17,0,46,52,34,4,5,8,0,7,57%,0,0,0,0,0,0,,,,,,,,
3115,Gabriel Zakuani,DR Congo,31/05/1986,185cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3116,Matthew Briggs,Guyana,06/03/1991,184cm,Defender,13,3,8,,,,,,,,,0,15,0,0,0,0,6,0,0,238,18.31,16,32,81%,0,3,13,24,6,0,43,56,32,11,5,1,0,14,14%,0,0,0,0,0,0,,,,,,,,
3117,Adam Watts,England,04/03/1988,188cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3118,Chris James,New Zealand,04/07/1987,181cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3119,Björn Runström,Sweden,01/03/1984,186cm,Forward,1,0,0,,,,,,,,,,,,,0,0,1,0,0,4,4,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,1,0,0,0,0,0%,0,
3121,Clint Dempsey,United States,09/03/1983,186cm,Midfielder,218,73,83,,,,,,,,,,,,,21,0,299,57,19,"6,303",28.91,,377,,,153,259,253,62,,,,,,,,21,138,,,77,12,30,12,15,0.26,2,2,627,212,34%,21,
3123,Daniele Padelli,Italy,25/10/1985,191cm,Goalkeeper,1,0,0,1,0,0,0,0,0,5,11,0,2,0,0,0,0,0,0,0,19,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3124,Ronald Huth,Paraguay,30/10/1989,188cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3125,Emiliano Insúa,Argentina,07/01/1989,180cm,Defender,46,27,10,,,,,,,,,20,35,0,0,2,0,48,0,4,"1,931",41.98,59,130,74%,1,8,98,126,40,0,222,227,179,40,35,36,0,141,26%,0,1,0,0,0,0,,,,,,,,
3126,Fábio Aurélio,Brazil,24/09/1979,178cm,Defender,87,54,16,,,,,,,,,17,47,1,1,6,0,58,3,9,"2,760",31.72,194,189,77%,1,18,95,207,48,0,312,295,214,35,40,55,0,385,26%,11,4,0,0,3,1,,,,,,,,
3127,Álvaro Arbeloa,Spain,17/01/1983,184cm,Defender,69,38,9,,,,,,,,,30,57,1,0,16,0,88,2,3,"2,649",38.39,98,215,78%,1,3,132,302,81,1,323,383,267,26,58,40,0,132,23%,4,4,0,1,1,0,,,,,,,,
3128,Gabriel Paletta,Italy,15/02/1986,190cm,Defender,3,1,2,,,,,,,,,0,3,0,0,0,0,2,0,0,92,30.67,9,9,67%,0,0,2,20,0,0,0,13,8,1,2,4,0,1,1%,0,1,0,0,0,0,,,,,,,,
3129,Stephen Darby,England,06/10/1988,183cm,Defender,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0%,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0%,0,0,0,0,0,0,,,,,,,,
3130,James Smith,England,17/10/1985,178cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3131,Danny Guthrie,England,18/04/1987,176cm,Midfielder,103,28,42,,,,,,,,,,,1,,17,1,73,4,5,"3,581",34.77,328,196,72%,,24,154,69,10,,539,388,382,51,39,47,7,352,28%,30,8,0,3,1,2,0.04,1,1,77,21,27%,0,
3132,Nabil El Zhar,Morocco,27/08/1986,171cm,Midfielder,21,10,3,,,,,,,,,,,0,,3,0,6,0,1,160,7.62,5,9,100%,,2,8,1,0,,27,24,51,8,0,10,0,18,28%,1,2,0,0,0,0,21,0,0,11,4,36%,0,
3133,Astrit Ajdarevic,Albania,17/04/1990,192cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3134,Adam Hammill,England,25/01/1988,180cm,Midfielder,19,4,11,,,,,,,,,,,0,,2,0,9,0,2,272,14.32,8,23,91%,,8,6,0,0,,40,58,73,13,1,16,4,74,19%,5,1,0,0,0,0,19,0,0,18,5,28%,2,
3135,Dirk Kuyt,Netherlands,22/07/1980,184cm,Midfielder,208,108,49,,,,,,,,,,,1,,11,0,230,51,27,"7,534",36.22,206,335,67%,,106,239,133,28,,718,882,"1,404",126,261,412,12,439,21%,73,122,7,37,7,13,0.25,8,0,459,165,36%,15,
3136,Javier Mascherano,Argentina,08/06/1984,174cm,Defender,99,50,21,,,,,,,,,32,79,2,0,22,3,171,1,3,"5,639",56.96,680,535,78%,0,24,265,152,29,0,573,783,548,58,52,93,0,81,16%,16,2,0,1,0,1,,,,,,,,
3137,Lucas Leiva,Brazil,09/01/1987,179cm,Midfielder,247,134,56,,,,,,,,,,,2,,50,1,410,1,14,"12,162",49.24,683,978,72%,,46,487,416,180,,"1,320","1,698","1,274",61,448,371,8,82,24%,60,10,1,0,0,0,0,0,0,151,35,23%,6,
3138,Lee Peltier,England,11/12/1986,178cm,Defender,24,7,14,,,,,,,,,5,34,0,0,5,0,19,0,0,407,16.96,22,48,60%,0,0,19,64,36,1,86,91,58,4,33,26,0,9,56%,0,0,0,0,0,0,,,,,,,,
3139,Craig Lindfield,England,07/09/1988,181cm,Forward,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0%,0,
3142,Andreas Isaksson,Sweden,03/10/1981,200cm,Goalkeeper,19,5,10,38,1,9,24,13,0,66,169,4,30,0,0,0,0,0,0,0,331,17.42,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3143,Joe Hart,England,19/04/1987,196cm,Goalkeeper,340,169,97,941,7,269,391,249,180,"1,516","2,806",127,383,20,0,7,0,6,0,1,"6,733",19.8,"1,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3144,Nathan D'Laryea,England,03/09/1985,178cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3145,Hatem Trabelsi,Tunisia,25/01/1977,179cm,Defender,20,7,10,,,,,,,,,5,17,0,0,2,0,28,1,1,466,23.3,12,29,93%,0,7,9,14,0,0,0,75,95,12,8,10,0,65,25%,0,1,0,0,1,1,,,,,,,,
3146,Djamel Abdoun,Algeria,14/02/1986,180cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3147,Ashley Grimes,England,09/12/1986,182cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3148,Ousmane Dabo,France,08/02/1977,183cm,Midfielder,13,4,8,,,,,,,,,,,0,,3,1,19,0,0,461,35.46,51,34,74%,,3,10,14,0,,0,55,43,4,9,2,0,22,41%,0,0,0,0,0,0,13,0,0,10,2,20%,0,
3149,Kelvin Etuhu,Nigeria,30/05/1988,179cm,Midfielder,10,3,4,,,,,,,,,,,0,,1,0,10,1,1,78,7.8,0,12,92%,,3,6,1,0,,19,18,32,2,3,5,0,23,9%,0,0,0,1,0,0,0.1,0,0,8,3,38%,0,
3150,Marc Laird,Scotland,23/01/1986,180cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3151,Michael Johnson,England,24/02/1988,183cm,Midfielder,37,18,13,,,,,,,,,,,0,,5,0,33,2,4,"1,374",37.14,86,85,76%,,14,37,58,8,,135,158,162,20,8,17,0,36,28%,3,0,0,2,0,1,0.05,0,0,35,6,17%,0,
3152,DaMarcus Beasley,United States,24/05/1982,173cm,Defender,18,5,10,,,,,,,,,1,19,0,0,1,0,10,3,1,302,16.78,8,29,66%,0,5,8,7,0,0,0,65,63,10,3,2,0,23,17%,0,3,0,1,2,1,,,,,,,,
3153,Emile Mpenza,Belgium,04/07/1978,177cm,Forward,25,12,9,,,,,,,,,,,,,1,0,14,5,1,425,17,,15,,,5,4,13,4,,,,,,,,0,17,,,23,3,1,1,1,0.2,0,0,42,17,40%,0,
3154,Daniel Sturridge,England,01/09/1989,188cm,Forward,218,110,54,,,,,,,,,,,,,9,1,61,76,21,"3,612",16.57,,36,,,99,45,27,11,,,,,,,,23,168,,,81,14,14,47,18,0.35,2,0,540,216,40%,57,
3155,Bernardo Corradi,Italy,30/03/1976,191cm,Forward,25,8,11,,,,,,,,,,,,,2,2,60,3,2,532,21.28,,21,,,6,2,10,0,,,,,,,,0,11,,,37,1,2,0,0,0.12,0,0,53,20,38%,0,
3156,Jonny Evans,Northern Ireland,03/01/1988 (33),188cm,Defender,330,162,96,,,,,,,,,92,335,5,6,52,3,260,13,11,"15,378",46.6,"1,132",487,71%,3,22,636,"1,959",842,4,"1,811","1,577",898,94,747,440,6,59,34%,10,4,9,4,0,3,,,,,,,,Leicester City
3157,Danny Simpson,England,04/01/1987,176cm,Defender,213,84,74,,,,,,,,,54,272,2,0,39,1,179,0,3,"6,212",29.16,374,369,73%,3,12,395,797,311,9,883,719,721,50,225,275,9,402,24%,5,6,0,0,0,0,,,,,,,,
3158,Ryan Shawcross,England,04/10/1987,191cm,Defender,317,97,128,,,,,,,,,84,410,6,6,58,5,323,14,9,"7,701",24.29,830,467,69%,20,26,435,"2,752","1,225",7,820,"1,587",999,47,897,496,3,43,23%,0,40,8,5,1,7,,,,,,,,
3159,David Gray,Scotland,04/05/1988,180cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3160,Craig Cathcart,Northern Ireland,06/02/1989 (32),188cm,Defender,161,50,73,,,,,,,,,30,233,4,4,19,0,69,5,2,"4,918",30.55,468,226,69%,5,8,184,913,368,4,622,595,408,17,310,252,4,16,31%,1,0,4,0,1,0,,,,,,,,Watford
3161,Michael Barnes,England,24/06/1988,191cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3162,Kieran Lee,England,22/06/1988,185cm,Midfielder,1,0,0,,,,,,,,,,,0,,1,0,2,0,0,28,28,0,4,25%,,0,0,2,0,,0,5,8,0,0,0,0,0,0%,0,0,0,0,0,0,1,0,0,0,0,0%,0,
3163,Danny Rose,England,21/02/1988,173cm,Midfielder,0,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0%,0,
3164,Phil Marsh,England,15/11/1986,178cm,Forward,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0%,0,
3165,Seb Hines,England,29/05/1988,188cm,Defender,2,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0.5,0,2,100%,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3166,Herold Goulon,France,12/06/1988,195cm,Midfielder,4,2,2,,,,,,,,,,,0,,0,0,2,0,0,26,6.5,0,1,100%,,0,2,4,2,,6,6,10,2,3,3,0,1,100%,0,0,0,0,0,0,4,0,0,1,0,1%,0,
3167,Lee Dong-Gook,South Korea,29/04/1979,187cm,Forward,23,8,9,,,,,,,,,,,,,2,0,26,0,0,210,9.13,,7,,,5,2,1,1,,,,,,,,0,5,,,14,0,0,0,2,23,0,0,24,1,4%,0,
3169,Tim Krul,Netherlands,03/04/1988 (33),188cm,Goalkeeper,204,61,102,625,4,116,245,92,191,848,"1,803",48,335,17,2,9,0,3,0,2,"5,722",28.05,"1,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norwich City
3170,Fraser Forster,England,17/03/1988 (33),201cm,Goalkeeper,115,48,42,279,3,38,87,26,26,323,866,39,130,7,0,4,0,1,0,0,"2,758",23.98,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southampton
3171,Oguchi Onyewu,United States,13/05/1982,195cm,Defender,11,2,6,,,,,,,,,2,10,0,0,0,0,11,0,0,296,26.91,18,21,86%,0,3,10,47,0,0,0,47,23,0,13,7,0,2,2%,0,0,0,0,0,0,,,,,,,,
3172,David Edgar,Canada,19/05/1987,190cm,Defender,23,5,13,,,,,,,,,1,30,0,0,1,1,23,2,1,450,19.57,31,43,88%,0,0,19,100,24,0,35,64,56,2,12,13,0,14,29%,0,0,1,1,0,0,,,,,,,,
3173,Kazenga LuaLua,DR Congo,10/12/1990,180cm,Midfielder,7,0,4,,,,,,,,,,,0,,0,0,1,0,0,36,5.14,1,3,67%,,1,2,0,0,,7,7,7,1,1,0,0,5,40%,0,0,0,0,0,0,7,0,0,2,1,50%,0,
3174,James Troisi,Australia,03/07/1988,176cm,Forward,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0%,0,
3175,Andy Carroll,England,06/01/1989,193cm,Forward,248,84,101,,,,,,,,,,,,,34,2,329,54,22,"4,822",19.44,,105,,,111,74,330,202,,,,,,,,28,114,,,80,24,6,24,12,0.22,2,1,544,174,32%,49,
3176,Obafemi Martins,Nigeria,28/10/1984,171cm,Forward,92,27,41,,,,,,,,,,,,,3,0,91,28,7,"1,826",19.85,,74,,,55,35,8,0,,,,,,,,0,110,,,62,5,10,13,10,0.3,2,0,259,81,31%,0,
3178,Nick Jordan,England,13/11/1989,180cm,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3179,Arnold Mvuemba,France,28/01/1985,172cm,Midfielder,21,4,10,,,,,,,,,,,0,,1,0,15,1,0,355,16.9,27,18,72%,,4,10,1,0,,25,27,52,5,3,6,0,3,33%,1,2,0,1,0,0,0.05,0,0,8,2,25%,0,
3180,Niko Kranjcar,Croatia,13/08/1984,186cm,Midfielder,154,55,63,,,,,,,,,,,0,,10,0,149,20,15,"4,664",30.29,358,275,74%,,101,123,98,15,,530,603,790,130,50,82,6,500,25%,54,9,0,15,4,4,0.13,0,4,315,89,28%,0,
3182,Adam Federici,Australia,31/01/1985,188cm,Goalkeeper,31,6,18,96,0,25,29,15,13,68,285,4,60,6,0,1,0,0,0,0,595,19.19,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3183,Ben Hamer,England,20/11/1987,192cm,Goalkeeper,19,3,13,51,0,11,10,5,12,47,141,4,36,3,0,0,0,0,0,0,533,28.05,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3184,Mikkel Andersen,Denmark,17/12/1988,195cm,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3185,Graeme Murty,Scotland,13/11/1974,180cm,Defender,51,18,26,,,,,,,,,10,73,1,0,5,0,25,0,0,"1,503",29.47,99,98,74%,0,5,59,191,34,1,164,161,129,16,10,19,0,122,20%,1,0,0,0,0,0,,,,,,,,
3186,Nicky Shorey,England,19/02/1981,175cm,Defender,176,58,78,,,,,,,,,34,259,3,2,12,0,60,3,21,"6,628",37.66,509,259,75%,1,22,210,534,100,6,743,488,355,109,51,70,6,824,27%,15,1,0,0,3,2,,,,,,,,
3187,Alex Pearce,Ireland,09/11/1988,188cm,Defender,19,4,12,,,,,,,,,2,34,0,0,1,0,14,0,1,510,26.84,35,15,73%,1,0,22,170,55,1,48,90,62,1,67,46,1,0,0%,2,1,0,0,0,0,,,,,,,,
3188,Sam Sodje,Nigeria,14/07/1980,183cm,Defender,3,0,3,,,,,,,,,0,2,0,0,2,1,9,0,0,45,15,5,4,100%,0,0,1,8,0,0,0,8,11,1,3,2,0,0,0%,0,0,0,0,0,0,,,,,,,,
3189,André Bikey,Cameroon,08/01/1985,183cm,Defender,65,22,30,,,,,,,,,13,87,1,0,13,1,112,4,0,"1,257",19.34,134,142,79%,2,9,84,318,66,0,210,349,286,35,107,65,0,10,30%,4,1,2,1,1,1,,,,,,,,
3190,Alan Bennett,Ireland,04/10/1981,187cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3191,Curtis Osano,England,08/03/1987,180cm,Defender,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
3192,Greg Halford,England,08/12/1984,193cm,Defender,28,5,15,,,,,,,,,1,38,0,0,4,1,29,0,0,778,27.79,55,52,81%,0,4,33,98,26,0,87,131,96,11,53,34,0,56,27%,1,1,0,0,0,0,,,,,,,,
3193,Ibrahima Sonko,Senegal,22/01/1981,191cm,Defender,62,19,31,,,,,,,,,9,90,0,0,5,2,36,1,1,"1,086",17.52,85,109,82%,2,2,65,519,126,1,124,273,136,10,120,53,0,9,22%,1,0,1,0,0,2,,,,,,,,
3194,Scott Golbourne,England,29/02/1988,173cm,Defender,1,0,1,,,,,,,,,0,2,0,0,0,0,0,0,0,28,28,2,1,100%,0,0,1,2,1,1,0,1,4,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
